Parameter/Date,31 January 2023,30 January 2023,29 January 2023,28 January 2023,27 January 2023,26 January 2023,25 January 2023,24 January 2023,23 January 2023,22 January 2023,21 January 2023,20 January 2023,19 January 2023,18 January 2023,17 January 2023,16 January 2023,15 January 2023,14 January 2023,13 January 2023,12 January 2023,11 January 2023,10 January 2023,9 January 2023,8 January 2023,7 January 2023,6 January 2023,5 January 2023,4 January 2023,3 January 2023,2 January 2023,1 January 2023,Total
Sales,0,0,0,0,0,0,0,0,0,303.81,239.85,383.76,511.68,671.58,591.63,447.72,639.6,399.75,495.69,399.75,351.78,415.74,335.79,367.77,175.89,255.84,35.98,18.99,75.96,56.97,56.97,7232.5
    Organic,0,0,0,0,0,0,0,0,0,303.81,239.85,383.76,511.68,671.58,591.63,447.72,639.6,399.75,495.69,399.75,351.78,415.74,335.79,367.77,175.89,255.84,35.98,18.99,75.96,56.97,56.97,7232.5
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,0,0,0,0,0,0,0,0,0,303.81,239.85,383.76,511.68,671.58,591.63,447.72,639.6,399.75,495.69,399.75,351.78,415.74,335.79,367.77,175.89,255.84,35.98,18.99,75.96,56.97,56.97,7232.5
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,0,0,0,0,0,0,0,0,0,19,15,24,32,42,37,28,40,25,31,25,22,26,21,23,11,16,2,1,4,3,3,450
    Organic,0,0,0,0,0,0,0,0,0,19,15,24,32,42,37,28,40,25,31,25,22,26,21,23,11,16,2,1,4,3,3,450
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,0,0,0,0,0,0,0,0,0,19,15,24,32,42,37,28,40,25,31,25,22,26,21,23,11,16,2,1,4,3,3,450
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,-11.34,0,0,0,0,0,-14.07,0,-14.07,0,2.73,0,-14.07,-14.07,-14.07,0,0,0,0,0,0,0,0,0,0,0,0,-16.71,0,0,0,-95.67
    Refunded referral fee,2.4,0,0,0,0,0,2.4,0,2.4,0,0,0,2.4,2.4,2.4,0,0,0,0,0,0,0,0,0,0,0,0,2.85,0,0,0,17.25
    Value of returned items,2.73,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46
    Refund commission,-0.48,0,0,0,0,0,-0.48,0,-0.48,0,0,0,-0.48,-0.48,-0.48,0,0,0,0,0,0,0,0,0,0,0,0,-0.57,0,0,0,-3.45
